race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,7,ジェミート,https://db.netkeiba.com/horse/2022100327/,2022100327,牡,4,58.0,横山和,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,8,ステラスプレンダー,https://db.netkeiba.com/horse/2021105604/,2021105604,牝,5,56.0,吉村,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,9,スーパージョック,https://db.netkeiba.com/horse/2022103733/,2022103733,牡,4,58.0,三浦,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,10,ゼロヴィジビリティ,https://db.netkeiba.com/horse/2023101157/,2023101157,牡,3,55.0,ルメール,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,11,チュウワチーフ,https://db.netkeiba.com/horse/2022110117/,2022110117,牡,4,58.0,松山,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,12,ハリウッドブルース,https://db.netkeiba.com/horse/2021104514/,2021104514,牡,5,58.0,浜田,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,13,フィーチャリング,https://db.netkeiba.com/horse/2022105824/,2022105824,セ,4,58.0,原,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,14,フクチャントウメイ,https://db.netkeiba.com/horse/2021105086/,2021105086,セ,5,58.0,吉田豊,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,15,ヘリテージブルーム,https://db.netkeiba.com/horse/2023103365/,2023103365,牡,3,55.0,戸崎圭,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,16,ホウオウゴールド,https://db.netkeiba.com/horse/2022106011/,2022106011,牡,4,58.0,小沢,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,17,ポートデラメール,https://db.netkeiba.com/horse/2022105963/,2022105963,牝,4,56.0,ルメール,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,18,モズケイスター,https://db.netkeiba.com/horse/2022102127/,2022102127,牡,4,58.0,坂井,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,19,モズタチアガレ,https://db.netkeiba.com/horse/2022106010/,2022106010,牡,4,58.0,北村友,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,20,ヤマニンバロネス,https://db.netkeiba.com/horse/2022106609/,2022106609,牝,4,56.0,高杉,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,21,ライトオブヌカタ,https://db.netkeiba.com/horse/2023103087/,2023103087,牡,3,55.0,石川,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,22,ラヴオントップ,https://db.netkeiba.com/horse/2021104399/,2021104399,牝,5,56.0,吉村,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,1,ウインデイジー,https://db.netkeiba.com/horse/2021106194/,2021106194,牝,5,56.0,松若,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,2,エイカイマッケンロ,https://db.netkeiba.com/horse/2019104800/,2019104800,セ,7,58.0,ディー,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,3,サダムオプシス,https://db.netkeiba.com/horse/2021105474/,2021105474,牡,5,58.0,幸,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,4,サトノクローク,https://db.netkeiba.com/horse/2020106667/,2020106667,牡,6,58.0,田口,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,5,タイセイフェリーク,https://db.netkeiba.com/horse/2020103713/,2020103713,牝,6,56.0,藤懸,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,6,ナムラフッカー,https://db.netkeiba.com/horse/2021102510/,2021102510,牡,5,58.0,高倉,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,7,ハーツコンチェルト,https://db.netkeiba.com/horse/2020105681/,2020105681,牡,6,58.0,横山武,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,8,ミッキーゴールド,https://db.netkeiba.com/horse/2022104765/,2022104765,セ,4,58.0,菅原明,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,9,ミュージシャン,https://db.netkeiba.com/horse/2022103207/,2022103207,牡,4,58.0,坂井,,
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,10,メイショウソウタ,https://db.netkeiba.com/horse/2021103263/,2021103263,牡,5,58.0,菱田,,
