dataset,horse_id,history_index,column,legacy_value,pi_value,diff_abs,diff_pct,cause,join_key
horse_history_raw,2022106825,15.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20240804|2歳未勝利
horse_history_raw,2022106825,16.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20240714|2歳新馬
horse_history_raw,2022106825,16.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20240714|2歳新馬
horse_history_raw,2017101772,0.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20260719|猪苗代特別(2勝クラス)
horse_history_raw,2017101772,0.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20260719|猪苗代特別(2勝クラス)
horse_history_raw,2017101772,1.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20260607|三木特別(2勝クラス)
horse_history_raw,2017101772,1.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20260607|三木特別(2勝クラス)
horse_history_raw,2017101772,2.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20260412|4歳以上2勝クラス
horse_history_raw,2017101772,2.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20260412|4歳以上2勝クラス
horse_history_raw,2017101772,3.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20260208|由布院特別(2勝クラス)
horse_history_raw,2017101772,3.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20260208|由布院特別(2勝クラス)
horse_history_raw,2017101772,4.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20251214|霞ヶ浦特別(2勝クラス)
horse_history_raw,2017101772,4.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20251214|霞ヶ浦特別(2勝クラス)
horse_history_raw,2017101772,5.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20250706|白河特別(2勝クラス)
horse_history_raw,2017101772,5.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20250706|白河特別(2勝クラス)
horse_history_raw,2017101772,6.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20250426|石和特別(2勝クラス)
horse_history_raw,2017101772,6.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20250426|石和特別(2勝クラス)
horse_history_raw,2017101772,7.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20250413|鹿野山特別(2勝クラス)
horse_history_raw,2017101772,7.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20250413|鹿野山特別(2勝クラス)
horse_history_raw,2017101772,8.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20250302|富里特別(2勝クラス)
horse_history_raw,2017101772,8.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20250302|富里特別(2勝クラス)
horse_history_raw,2017101772,9.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20250125|東雲賞(2勝クラス)
horse_history_raw,2017101772,9.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20250125|東雲賞(2勝クラス)
horse_history_raw,2017101772,10.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20240824|五頭連峰特別(2勝クラス)
horse_history_raw,2017101772,10.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20240824|五頭連峰特別(2勝クラス)
horse_history_raw,2017101772,11.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20240623|八ヶ岳特別(2勝クラス)
horse_history_raw,2017101772,11.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20240623|八ヶ岳特別(2勝クラス)
horse_history_raw,2017101772,12.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20240519|調布特別(2勝クラス)
horse_history_raw,2017101772,12.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20240519|調布特別(2勝クラス)
horse_history_raw,2017101772,13.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230930|障害3歳以上未勝利
horse_history_raw,2017101772,13.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230930|障害3歳以上未勝利
horse_history_raw,2017101772,14.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230723|白河特別(2勝クラス)
horse_history_raw,2017101772,14.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230723|白河特別(2勝クラス)
horse_history_raw,2017101772,15.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230708|猪苗代特別(2勝クラス)
horse_history_raw,2017101772,15.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230708|猪苗代特別(2勝クラス)
horse_history_raw,2017101772,16.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230409|鹿野山特別(2勝クラス)
horse_history_raw,2017101772,16.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230409|鹿野山特別(2勝クラス)
horse_history_raw,2017101772,17.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230225|富里特別(2勝クラス)
horse_history_raw,2017101772,17.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230225|富里特別(2勝クラス)
horse_history_raw,2017101772,18.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20230121|東雲賞(2勝クラス)
horse_history_raw,2017101772,18.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20230121|東雲賞(2勝クラス)
horse_history_raw,2017101772,19.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20221127|オリエンタル賞(2勝クラス)
horse_history_raw,2017101772,19.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20221127|オリエンタル賞(2勝クラス)
horse_history_raw,2017101772,20.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20221002|茨城新聞杯(2勝クラス)
horse_history_raw,2017101772,20.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20221002|茨城新聞杯(2勝クラス)
horse_history_raw,2017101772,21.0,odds_today,24.8,,,,netkeiba_spec_difference,2017101772|20220911|白井特別(2勝クラス)
horse_history_raw,2017101772,21.0,popularity_today,6.0,,,,netkeiba_spec_difference,2017101772|20220911|白井特別(2勝クラス)
